Unused bits: 12.66%

Nr.     Instruction                     Format                                                                                                                                
   70   ADD (nnn,rrr),rrrr              oooooooo AAAAAAAA AAAAAAAA AAAAAAAA uuuBBBBB uuuCCCCC                                                                                 
   71   ADD (nnn),(nnn,nnn),n,rrr       oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD uuuEEEEE                           
   72   ADD (nnn),(nnn,r),n,rrr         oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                             
   73   ADD (nnn),(nnn,rr),n,rrr        oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                             
   74   ADD (nnn),(nnn,rrr),n,rrr       oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                             
   75   ADD (nnn),(nnn),n,rrr           oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC uuuDDDDD                                                      
   76   ADD (nnn),(rrr,nnn),n,rrr       oooooooo AAAAAAAA AAAAAAAA AAAAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD uuuEEEEE                                             
   77   ADD (nnn),(rrr,r),n,rrr         oooooooo AAAAAAAA AAAAAAAA AAAAAAAA uuuBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                               
   78   ADD (nnn),(rrr,rr),n,rrr        oooooooo AAAAAAAA AAAAAAAA AAAAAAAA uuuBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                               
   79   ADD (nnn),(rrr,rrr),n,rrr       oooooooo AAAAAAAA AAAAAAAA AAAAAAAA uuuBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                               
   80   ADD (nnn),(rrr),n,rrr           oooooooo AAAAAAAA AAAAAAAA AAAAAAAA uuuBBBBB CCCCCCCC uuuDDDDD                                                                        
   81   ADD (nnn),fr                    oooooooo AAAAAAAA AAAAAAAA AAAAAAAA uuuuBBBB                                                                                          
   82   ADD (nnn),nnnn,n,nnn            oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC DDDDDDDD DDDDDDDD DDDDDDDD                           
   83   ADD (nnn),nnnn,n                oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC                                                      
   84   ADD (nnn),r                     oooooooo AAAAAAAA AAAAAAAA AAAAAAAA uuuBBBBB                                                                                          
   85   ADD (nnn),rr                    oooooooo AAAAAAAA AAAAAAAA AAAAAAAA uuuBBBBB                                                                                          
   86   ADD (nnn),rrr                   oooooooo AAAAAAAA AAAAAAAA AAAAAAAA uuuBBBBB                                                                                          
   87   ADD (nnn),rrrr                  oooooooo AAAAAAAA AAAAAAAA AAAAAAAA uuuBBBBB                                                                                          
   88   ADD (rrr,nnn),(nnn,nnn),n,rrr   oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD DDDDDDDD DDDDDDDD EEEEEEEE uuuFFFFF                  
   89   ADD (rrr,nnn),(nnn,r),n,rrr     oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                    
   90   ADD (rrr,nnn),(nnn,rr),n,rrr    oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                    
   91   ADD (rrr,nnn),(nnn,rrr),n,rrr   oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                    
   92   ADD (rrr,nnn),(nnn),n,rrr       oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD uuuEEEEE                                             
   93   ADD (rrr,nnn),(rrr,nnn),n,rrr   oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC DDDDDDDD DDDDDDDD DDDDDDDD EEEEEEEE uuuFFFFF                                    
   94   ADD (rrr,nnn),(rrr,r),n,rrr     oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                      
   95   ADD (rrr,nnn),(rrr,rr),n,rrr    oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                      
   96   ADD (rrr,nnn),(rrr,rrr),n,rrr   oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                      
   97   ADD (rrr,nnn),(rrr),n,rrr       oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                               
   98   ADD (rrr,nnn),fr                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuuCCCC                                                                                 
   99   ADD (rrr,nnn),nnnn,n,nnn        oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD EEEEEEEE EEEEEEEE EEEEEEEE                  
  100   ADD (rrr,nnn),nnnn,n            oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD                                             
  101   ADD (rrr,nnn),r                 oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  102   ADD (rrr,nnn),rr                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  103   ADD (rrr,nnn),rrr               oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  104   ADD (rrr,nnn),rrrr              oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  105   ADD (rrr,r),(nnn,nnn),n,rrr     oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD DDDDDDDD DDDDDDDD EEEEEEEE uuuFFFFF                                    
  106   ADD (rrr,r),(nnn,r),n,rrr       oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                      
  107   ADD (rrr,r),(nnn,rr),n,rrr      oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                      
