Nr.  	Status	Compiled instruction                                      	Bytecodes (hex)                                               	Disassembled to                                           
  286	OK    	GETBITS T, CDEF, Y                                        	38, 12, 62, 18                                                	GETBITS T, CDEF, Y                                        
  287	OK    	GETBITS TUV, VWXY, 0x6A                                   	38, 0A, 75, 6A                                                	GETBITS TUV, VWXY, 0x6A                                   
  288	OK    	GETBITS VWXY, CDEF, 0x17                                  	38, 0E, A2, 17                                                	GETBITS VWXY, CDEF, 0x17                                  
  289	OK    	GETBITS VWXY, GHIJ, P                                     	38, 1E, A6, 0F                                                	GETBITS VWXY, GHIJ, P                                     
  290	OK    	GETVAR 0x1D76BBBB, HIJK                                   	BF, 01, 1D, 76, BB, BB, 07                                    	GETVAR 0x1D76BBBB, HIJK                                   
  291	OK    	GETVAR DEFG, JKLM                                         	BF, 03, 03, 09                                                	GETVAR DEFG, JKLM                                         
  292	OK    	HSB2RGB (0x04DD29), (0x7572B9)                            	C3, 08, 04, DD, 29, 75, 72, B9                                	HSB2RGB (0x04DD29), (0x7572B9)                            
  293	OK    	HSB2RGB (0x4F3C90), IJK                                   	C3, 06, 4F, 3C, 90, 08                                        	HSB2RGB (0x4F3C90), IJK                                   
  294	OK    	HSB2RGB (0x647932), (GHI)                                 	C3, 0A, 64, 79, 32, 06                                        	HSB2RGB (0x647932), (GHI)                                 
  295	OK    	HSB2RGB (IJK), PQR                                        	C3, 07, 08, 0F                                                	HSB2RGB (IJK), PQR                                        
  296	OK    	HSB2RGB (LMN), (0x063306)                                 	C3, 09, 0B, 06, 33, 06                                        	HSB2RGB (LMN), (0x063306)                                 
  297	OK    	HSB2RGB (XYZ), (STU)                                      	C3, 0B, 17, 12                                                	HSB2RGB (XYZ), (STU)                                      
  298	OK    	HSB2RGB 0x11546DF6, (PQR)                                 	C3, 04, 11, 54, 6D, F6, 0F                                    	HSB2RGB 0x11546DF6, (PQR)                                 
  299	OK    	HSB2RGB 0x224418A8, PQR                                   	C3, 00, 22, 44, 18, A8, 0F                                    	HSB2RGB 0x224418A8, PQR                                   
  300	OK    	HSB2RGB 0x2F9BB7E0, (0x623462)                            	C3, 02, 2F, 9B, B7, E0, 62, 34, 62                            	HSB2RGB 0x2F9BB7E0, (0x623462)                            
  301	OK    	HSB2RGB ABCD, (0x157D69)                                  	C3, 03, 00, 15, 7D, 69                                        	HSB2RGB ABCD, (0x157D69)                                  
  302	OK    	HSB2RGB OPQR, (EFG)                                       	C3, 05, 0E, 04                                                	HSB2RGB OPQR, (EFG)                                       
  303	OK    	HSB2RGB WXYZ, KLM                                         	C3, 01, 16, 0A                                                	HSB2RGB WXYZ, KLM                                         
  304	OK    	HSL2RGB (0x0D5194), (0x6D3AB0)                            	C1, 08, 0D, 51, 94, 6D, 3A, B0                                	HSL2RGB (0x0D5194), (0x6D3AB0)                            
  305	OK    	HSL2RGB (0x3E97B2), UVW                                   	C1, 06, 3E, 97, B2, 14                                        	HSL2RGB (0x3E97B2), UVW                                   
  306	OK    	HSL2RGB (0x7BA748), (PQR)                                 	C1, 0A, 7B, A7, 48, 0F                                        	HSL2RGB (0x7BA748), (PQR)                                 
  307	OK    	HSL2RGB (RST), HIJ                                        	C1, 07, 11, 07                                                	HSL2RGB (RST), HIJ                                        
  308	OK    	HSL2RGB (WXY), (0x3F1AAB)                                 	C1, 09, 16, 3F, 1A, AB                                        	HSL2RGB (WXY), (0x3F1AAB)                                 
  309	OK    	HSL2RGB (WXY), (OPQ)                                      	C1, 0B, 16, 0E                                                	HSL2RGB (WXY), (OPQ)                                      
  310	OK    	HSL2RGB 0x158F3AF7, CDE                                   	C1, 00, 15, 8F, 3A, F7, 02                                    	HSL2RGB 0x158F3AF7, CDE                                   
  311	OK    	HSL2RGB 0x27D105A4, (0x24B283)                            	C1, 02, 27, D1, 05, A4, 24, B2, 83                            	HSL2RGB 0x27D105A4, (0x24B283)                            
  312	OK    	HSL2RGB 0x2B2FF3D1, (HIJ)                                 	C1, 04, 2B, 2F, F3, D1, 07                                    	HSL2RGB 0x2B2FF3D1, (HIJ)                                 
  313	OK    	HSL2RGB EFGH, UVW                                         	C1, 01, 04, 14                                                	HSL2RGB EFGH, UVW                                         
  314	OK    	HSL2RGB JKLM, (YZA)                                       	C1, 05, 09, 18                                                	HSL2RGB JKLM, (YZA)                                       
  315	OK    	HSL2RGB MNOP, (0x522C8F)                                  	C1, 03, 0C, 52, 2C, 8F                                        	HSL2RGB MNOP, (0x522C8F)                                  
  316	OK    	IMPLY (0x0EF39C), RST                                     	30, 68, 0E, F3, 9C, 11                                        	IMPLY (0x0EF39C), RST                                     
  317	OK    	IMPLY (0x108CF1), NOPQ                                    	30, 6C, 10, 8C, F1, 0D                                        	IMPLY (0x108CF1), NOPQ                                    
  318	OK    	IMPLY (0x2BB677), FG                                      	30, 64, 2B, B6, 77, 05                                        	IMPLY (0x2BB677), FG                                      
  319	OK    	IMPLY (0x4330A9), 0x43                                    	30, 50, 43, 30, A9, 43                                        	IMPLY (0x4330A9), 0x43                                    
  320	OK    	IMPLY (0x4A8A99), Y                                       	30, 60, 4A, 8A, 99, 18                                        	IMPLY (0x4A8A99), Y                                       
  321	OK    	IMPLY (GHI), VWX                                          	30, 38, D5                                                    	IMPLY (GHI), VWX                                          
  322	OK    	IMPLY (HIJ), 0x54                                         	30, 20, 07, 54                                                	IMPLY (HIJ), 0x54                                         
  323	OK    	IMPLY (LMN), XY                                           	30, 35, 77                                                    	IMPLY (LMN), XY                                           
  324	OK    	IMPLY (QRS), G                                            	30, 32, 06                                                    	IMPLY (QRS), G                                            
  325	OK    	IMPLY (TUV), HIJK                                         	30, 3E, 67                                                    	IMPLY (TUV), HIJK                                         
  326	OK    	IMPLY ABCD, (0x3D145E)                                    	30, 7C, 00, 3D, 14, 5E                                        	IMPLY ABCD, (0x3D145E)                                    
  327	OK    	IMPLY BCD, (0x1E909E)                                     	30, 78, 01, 1E, 90, 9E                                        	IMPLY BCD, (0x1E909E)                                     
  328	OK    	IMPLY C, Y                                                	30, 04, 58                                                    	IMPLY C, Y                                                
  329	OK    	IMPLY F, (0x56FE61)                                       	30, 70, 05, 56, FE, 61                                        	IMPLY F, (0x56FE61)                                       
  330	OK    	IMPLY FGHI, 0x1CAD6EC4                                    	30, 18, 05, 1C, AD, 6E, C4                                    	IMPLY FGHI, 0x1CAD6EC4                                    
  331	OK    	IMPLY G, 0x6E                                             	30, 00, 06, 6E                                                	IMPLY G, 0x6E                                             
  332	OK    	IMPLY JKL, PQR                                            	30, 15, 2F                                                    	IMPLY JKL, PQR                                            
  333	OK    	IMPLY LMNO, LMNO                                          	30, 1D, 6B                                                    	IMPLY LMNO, LMNO                                          
  334	OK    	IMPLY NOP, 0x6C830E                                       	30, 10, 0D, 6C, 83, 0E                                        	IMPLY NOP, 0x6C830E                                       
  335	OK    	IMPLY ST, 0x492A                                          	30, 08, 12, 49, 2A                                            	IMPLY ST, 0x492A                                          
  336	OK    	IMPLY TUVW, (OPQ)                                         	30, 4E, 6E                                                    	IMPLY TUVW, (OPQ)                                         
  337	OK    	IMPLY U, (BCD)                                            	30, 42, 81                                                    	IMPLY U, (BCD)                                            
  338	OK    	IMPLY UV, (0x65CD72)                                      	30, 74, 14, 65, CD, 72                                        	IMPLY UV, (0x65CD72)                                      
  339	OK    	IMPLY UV, (JKL)                                           	30, 46, 89                                                    	IMPLY UV, (JKL)                                           
  340	OK    	IMPLY XYZ, (OPQ)                                          	30, 4A, EE                                                    	IMPLY XYZ, (OPQ)                                          
  341	OK    	IMPLY YZ, RS                                              	30, 0F, 11                                                    	IMPLY YZ, RS                                              
  342	OK    	IMPLY16 (0x661A64), 0x6C2A                                	30, 54, 66, 1A, 64, 6C, 2A                                    	IMPLY16 (0x661A64), 0x6C2A                                
  343	OK    	IMPLY16 (FGH), 0x03A9                                     	30, 24, 05, 03, A9                                            	IMPLY16 (FGH), 0x03A9                                     
  344	OK    	IMPLY24 (0x2122A8), 0x5D2EE8                              	30, 58, 21, 22, A8, 5D, 2E, E8                                	IMPLY24 (0x2122A8), 0x5D2EE8                              
  345	OK    	IMPLY24 (BCD), 0x674ECD                                   	30, 28, 01, 67, 4E, CD                                        	IMPLY24 (BCD), 0x674ECD                                   
  346	OK    	IMPLY32 (0x5F830C), 0x1883A4C8                            	30, 5C, 5F, 83, 0C, 18, 83, A4, C8                            	IMPLY32 (0x5F830C), 0x1883A4C8                            
  347	OK    	IMPLY32 (FGH), 0x0EF9C4B9                                 	30, 2C, 05, 0E, F9, C4, B9                                    	IMPLY32 (FGH), 0x0EF9C4B9                                 
  348	OK    	INC (0x30620F)                                            	13, 08, 30, 62, 0F                                            	INC (0x30620F)                                            
  349	OK    	INC (ABC)                                                 	13, 04, 00                                                    	INC (ABC)                                                 
  350	OK    	INC IJK                                                   	13, 02, 08                                                    	INC IJK                                                   
  351	OK    	INC JK                                                    	13, 01, 09                                                    	INC JK                                                    
  352	OK    	INC RSTU                                                  	13, 03, 11                                                    	INC RSTU                                                  
  353	OK    	INC Y                                                     	13, 00, 18                                                    	INC Y                                                     
  354	OK    	INC16 (0x7FA88F)                                          	13, 09, 7F, A8, 8F                                            	INC16 (0x7FA88F)                                          
  355	OK    	INC16 (KLM)                                               	13, 05, 0A                                                    	INC16 (KLM)                                               
  356	OK    	INC24 (0x257A65)                                          	13, 0A, 25, 7A, 65                                            	INC24 (0x257A65)                                          
  357	OK    	INC24 (HIJ)                                               	13, 06, 07                                                    	INC24 (HIJ)                                               
  358	OK    	INC32 (0x222499)                                          	13, 0B, 22, 24, 99                                            	INC32 (0x222499)                                          
  359	OK    	INC32 (XYZ)                                               	13, 07, 17                                                    	INC32 (XYZ)                                               
  360	OK    	INT 0x01, O                                               	1D, 0E, 01                                                    	INT 0x01, O                                               
  361	OK    	INV HIJ                                                   	10, 47                                                        	INV HIJ                                                   
  362	OK    	INV IJ                                                    	10, 28                                                        	INV IJ                                                    
  363	OK    	INV K                                                     	10, 0A                                                        	INV K                                                     
  364	OK    	INV TUVW                                                  	10, 73                                                        	INV TUVW                                                  
  365	OK    	INVF OV                                                   	26, 0B                                                        	INVF OV                                                   
  366	OK    	ISGN F10, F10                                             	64, 1A, 0A                                                    	ISGN F10, F10                                             
  367	OK    	ISGN F13                                                  	64, 0D                                                        	ISGN F13                                                  
  368	OK    	ISQR (0x39A702), F11                                      	63, 50, 0B, 39, A7, 02                                        	ISQR (0x39A702), F11                                      
  369	OK    	ISQR (0x643C4A)                                           	63, 18, 64, 3C, 4A                                            	ISQR (0x643C4A)                                           
  370	OK    	ISQR (BCD)                                                	63, 14, 01                                                    	ISQR (BCD)                                                
  371	OK    	ISQR (QRS), F5                                            	63, 4D, 05                                                    	ISQR (QRS), F5                                            
  372	OK    	ISQR DEFG, F1                                             	63, 48, 31                                                    	ISQR DEFG, F1                                             
  373	OK    	ISQR F1, NOP                                              	63, 28, D1                                                    	ISQR F1, NOP                                              
  374	OK    	ISQR F11, F                                               	63, 20, 5B                                                    	ISQR F11, F                                               
  375	OK    	ISQR F11, TU                                              	63, 25, 3B                                                    	ISQR F11, TU                                              
  376	OK    	ISQR F14, OPQR                                            	63, 2C, EE                                                    	ISQR F14, OPQR                                            
  377	OK    	ISQR F5, 0.2950894                                        	63, 38, 05, 3E, 97, 15, F5                                    	ISQR F5, 0.2950894                                        
  378	OK    	ISQR F6, (GHI)                                            	63, 30, 66                                                    	ISQR F6, (GHI)                                            
  379	OK    	ISQR F6, F0                                               	63, 1C, 60                                                    	ISQR F6, F0                                               
  380	OK    	ISQR F8, (0x3FBA9A)                                       	63, 34, 08, 3F, BA, 9A                                        	ISQR F8, (0x3FBA9A)                                       
  381	OK    	ISQR F9                                                   	63, 00, 09                                                    	ISQR F9                                                   
  382	OK    	ISQR GH                                                   	63, 08, 06                                                    	ISQR GH                                                   
  383	OK    	ISQR IJK                                                  	63, 0C, 08                                                    	ISQR IJK                                                  
  384	OK    	ISQR O, F6                                                	63, 3C, E6                                                    	ISQR O, F6                                                
  385	OK    	ISQR PQRS                                                 	63, 10, 0F                                                    	ISQR PQRS                                                 
  386	OK    	ISQR QRS, F0                                              	63, 45, 00                                                    	ISQR QRS, F0                                              
  387	OK    	ISQR R                                                    	63, 04, 11                                                    	ISQR R                                                    
  388	OK    	ISQR YZ, F0                                               	63, 41, 80                                                    	ISQR YZ, F0                                               
  389	OK    	JP 0x145AFE                                               	17, 00, 14, 5A, FE                                            	JP 0x145AFE                                               
  390	OK    	JP EQ, 0x43FD7B                                           	17, 2D, 43, FD, 7B                                            	JP EQ, 0x43FD7B                                           
  391	OK    	JP KLM                                                    	17, 4A                                                        	JP KLM                                                    
  392	OK    	JP PE, FGH                                                	17, 64, 05                                                    	JP PE, FGH                                                
  393	OK    	JR 0x51872E                                               	18, 00, 51, 87, 2E                                            	JR 0x51872E                                               
  394	OK    	JR NE, 0x7F81C5                                           	18, 25, 7F, 81, C5                                            	JR NE, 0x7F81C5                                           
  395	OK    	LD (0x000B6E + MNO), (0x2C730B + CD), 0x6A, RST           	01, 87, 00, 0B, 6E, 0C, 2C, 73, 0B, 02, 6A, 11                	LD (0x000B6E + MNO), (0x2C730B + CD), 0x6A, RST           
  396	OK    	LD (0x008B21 + JKL), (0x681EB8 + E), 0x3B, CDE            	01, 86, 00, 8B, 21, 09, 68, 1E, B8, 04, 3B, 02                	LD (0x008B21 + JKL), (0x681EB8 + E), 0x3B, CDE            
  397	OK    	LD (0x0103ED + RST), GH                                   	01, 81, 01, 03, ED, 11, 06                                    	LD (0x0103ED + RST), GH                                   
  398	OK    	LD (0x010745 + QR), (0x22B069 + 0x00D638), 0x12, XYZ      	01, 74, 01, 07, 45, 10, 22, B0, 69, 00, D6, 38, 12, 17        	LD (0x010745 + QR), (0x22B069 + 0x00D638), 0x12, XYZ      
  399	OK    	LD (0x01A1E6 + TUV), F5                                   	01, 8E, 01, A1, E6, 13, 05                                    	LD (0x01A1E6 + TUV), F5                                   
  400	OK    	LD (0x090735), I                                          	01, 3C, 09, 07, 35, 08                                        	LD (0x090735), I                                          
  401	OK    	LD (0x0BB02F + BC), 0x2AF9857E, 0x25                      	01, 6D, 0B, B0, 2F, 01, 2A, F9, 85, 7E, 25                    	LD (0x0BB02F + BC), 0x2AF9857E, 0x25                      
  402	OK    	LD (0x10BC37 + KL), G                                     	01, 6F, 10, BC, 37, 0A, 06                                    	LD (0x10BC37 + KL), G                                     
  403	OK    	LD (0x1785E4 + V), GHIJ                                   	01, 61, 17, 85, E4, 15, 06                                    	LD (0x1785E4 + V), GHIJ                                   
  404	OK    	LD (0x1D25B8), (0x0FB255), 0x3A, LMN                      	01, 40, 1D, 25, B8, 0F, B2, 55, 3A, 0B                        	LD (0x1D25B8), (0x0FB255), 0x3A, LMN                      
  405	OK    	LD (0x1E885C + KL), UVW                                   	01, 71, 1E, 88, 5C, 0A, 14                                    	LD (0x1E885C + KL), UVW                                   
  406	OK    	LD (0x1F267C + TUV), (NOP + DEF), 0x3E, WXY               	01, 8D, 1F, 26, 7C, 13, 0D, 03, 3E, 16                        	LD (0x1F267C + TUV), (NOP + DEF), 0x3E, WXY               
  407	OK    	LD (0x1F7215 + KLM), (IJK + 0x585211), 0x42, TUV          	01, 8A, 1F, 72, 15, 0A, 08, 58, 52, 11, 42, 13                	LD (0x1F7215 + KLM), (IJK + 0x585211), 0x42, TUV          
  408	OK    	LD (0x2031FC + V), (0x38823A + HI), 0x0F, IJK             	01, 65, 20, 31, FC, 15, 38, 82, 3A, 07, 0F, 08                	LD (0x2031FC + V), (0x38823A + HI), 0x0F, IJK             
  409	OK    	LD (0x22164E + L), (0x69E93C + Q), 0x5B, DEF              	01, 64, 22, 16, 4E, 0B, 69, E9, 3C, 10, 5B, 03                	LD (0x22164E + L), (0x69E93C + Q), 0x5B, DEF              
  410	OK    	LD (0x22E008 + TU), (0x647C53 + QR), 0x2F, BCD            	01, 76, 22, E0, 08, 13, 64, 7C, 53, 10, 2F, 01                	LD (0x22E008 + TU), (0x647C53 + QR), 0x2F, BCD            
  411	OK    	LD (0x234DE1 + WXY), CDEF                                 	01, 83, 23, 4D, E1, 16, 02                                    	LD (0x234DE1 + WXY), CDEF                                 
  412	OK    	LD (0x246D57 + M), HI                                     	01, 5F, 24, 6D, 57, 0C, 07                                    	LD (0x246D57 + M), HI                                     
  413	OK    	LD (0x260BCE + IJK), 0x0A29F109, 0x78                     	01, 7E, 26, 0B, CE, 08, 0A, 29, F1, 09, 78                    	LD (0x260BCE + IJK), 0x0A29F109, 0x78                     
  414	OK    	LD (0x270AB3 + FGH), (0x6F47FF), 0x2B, OPQ                	01, 84, 27, 0A, B3, 05, 6F, 47, FF, 2B, 0E                    	LD (0x270AB3 + FGH), (0x6F47FF), 0x2B, OPQ                
  415	OK    	LD (0x2828F3), (OPQ + R), 0x2C, EFG                       	01, 47, 28, 28, F3, 0E, 11, 2C, 04                            	LD (0x2828F3), (OPQ + R), 0x2C, EFG                       
  416	OK    	LD (0x29829A + K), (0x2795C3 + ABC), 0x6A, UVW            	01, 66, 29, 82, 9A, 0A, 27, 95, C3, 00, 6A, 14                	LD (0x29829A + K), (0x2795C3 + ABC), 0x6A, UVW            
  417	OK    	LD (0x2AB50D + LM), (OPQ + 0x4FC55B), 0x19, WXY           	01, 79, 2A, B5, 0D, 0B, 0E, 4F, C5, 5B, 19, 16                	LD (0x2AB50D + LM), (OPQ + 0x4FC55B), 0x19, WXY           
  418	OK    	LD (0x2AD9DD), (0x458CD5 + Q), 0x71, YZA                  	01, 42, 2A, D9, DD, 45, 8C, D5, 10, 71, 18                    	LD (0x2AD9DD), (0x458CD5 + Q), 0x71, YZA                  
  419	OK    	LD (0x2D999F), (DEF + YZ), 0x1C, OPQ                      	01, 48, 2D, 99, 9F, 03, 18, 1C, 0E                            	LD (0x2D999F), (DEF + YZ), 0x1C, OPQ                      
  420	OK    	LD (0x2E60B2 + STU), (0x66F1D1 + HIJ), 0x2A, QRS          	01, 88, 2E, 60, B2, 12, 66, F1, D1, 07, 2A, 10                	LD (0x2E60B2 + STU), (0x66F1D1 + HIJ), 0x2A, QRS          
  421	OK    	LD (0x2FF79F + 0x573280), (MNO + 0x36294B), 0x58, QRS     	01, 57, 2F, F7, 9F, 57, 32, 80, 0C, 36, 29, 4B, 58, 10        	LD (0x2FF79F + 0x573280), (MNO + 0x36294B), 0x58, QRS     
  422	OK    	LD (0x30FCDE + 0x137718), W                               	01, 4D, 30, FC, DE, 13, 77, 18, 16                            	LD (0x30FCDE + 0x137718), W                               
  423	OK    	LD (0x32131A + WXY), EFG                                  	01, 82, 32, 13, 1A, 16, 04                                    	LD (0x32131A + WXY), EFG                                  
  424	OK    	LD (0x33499E), 0x35AE70F3, 0x70                           	01, 3A, 33, 49, 9E, 35, AE, 70, F3, 70                        	LD (0x33499E), 0x35AE70F3, 0x70                           
  425	OK    	LD (0x336241 + MN), (JKL + YZA), 0x5F, DEF                	01, 7C, 33, 62, 41, 0C, 09, 18, 5F, 03                        	LD (0x336241 + MN), (JKL + YZA), 0x5F, DEF                
  426	OK    	LD (0x33665D), (JKL + 0x343E07), 0x5D, UVW                	01, 46, 33, 66, 5D, 09, 34, 3E, 07, 5D, 14                    	LD (0x33665D), (JKL + 0x343E07), 0x5D, UVW                
  427	OK    	LD (0x33AEAC + U), 0x214BA4BD, 0x7E                       	01, 5C, 33, AE, AC, 14, 21, 4B, A4, BD, 7E                    	LD (0x33AEAC + U), 0x214BA4BD, 0x7E                       
  428	OK    	LD (0x385543 + E), (0x3900CC + 0x69B6DC), 0x35, HIJ       	01, 63, 38, 55, 43, 04, 39, 00, CC, 69, B6, DC, 35, 07        	LD (0x385543 + E), (0x3900CC + 0x69B6DC), 0x35, HIJ       
  429	OK    	LD (0x3C00CC + VW), (0x73ABA5 + P), 0x38, CDE             	01, 75, 3C, 00, CC, 15, 73, AB, A5, 0F, 38, 02                	LD (0x3C00CC + VW), (0x73ABA5 + P), 0x38, CDE             
  430	OK    	LD (0x3D8175 + ST), GH                                    	01, 70, 3D, 81, 75, 12, 06                                    	LD (0x3D8175 + ST), GH                                    
  431	OK    	LD (0x4069C6), F6                                         	01, 4A, 40, 69, C6, 06                                        	LD (0x4069C6), F6                                         
  432	OK    	LD (0x40E276 + QRS), U                                    	01, 80, 40, E2, 76, 10, 14                                    	LD (0x40E276 + QRS), U                                    
  433	OK    	LD (0x413DA9 + 0x279D0D), (STU + TU), 0x3F, KLM           	01, 59, 41, 3D, A9, 27, 9D, 0D, 12, 13, 3F, 0A                	LD (0x413DA9 + 0x279D0D), (STU + TU), 0x3F, KLM           
  434	OK    	LD (0x43FB37 + W), MNO                                    	01, 60, 43, FB, 37, 16, 0C                                    	LD (0x43FB37 + W), MNO                                    
  435	OK    	LD (0x4458D2 + 0x422F0F), (0x2CE6DB + 0x6E3961), 0x2C, FGH	01, 52, 44, 58, D2, 42, 2F, 0F, 2C, E6, DB, 6E, 39, 61, 2C, 05	LD (0x4458D2 + 0x422F0F), (0x2CE6DB + 0x6E3961), 0x2C, FGH
  436	OK    	LD (0x44800F + FG), WXYZ                                  	01, 72, 44, 80, 0F, 05, 16                                    	LD (0x44800F + FG), WXYZ                                  
  437	OK    	LD (0x457D3A), (0x661B3C + QR), 0x79, RST                 	01, 43, 45, 7D, 3A, 66, 1B, 3C, 10, 79, 11                    	LD (0x457D3A), (0x661B3C + QR), 0x79, RST                 
  438	OK    	LD (0x46E080 + 0x4EEC4D), (0x6222D8 + B), 0x6E, YZA       	01, 53, 46, E0, 80, 4E, EC, 4D, 62, 22, D8, 01, 6E, 18        	LD (0x46E080 + 0x4EEC4D), (0x6222D8 + B), 0x6E, YZA       
  439	OK    	LD (0x46EF88 + 0x587AAF), CDE                             	01, 4F, 46, EF, 88, 58, 7A, AF, 02                            	LD (0x46EF88 + 0x587AAF), CDE                             
  440	OK    	LD (0x47204E + D), F14                                    	01, 6C, 47, 20, 4E, 03, 0E                                    	LD (0x47204E + D), F14                                    
  441	OK    	LD (0x474FAF + CD), (0x1C5CF5), 0x60, GHI                 	01, 73, 47, 4F, AF, 02, 1C, 5C, F5, 60, 06                    	LD (0x474FAF + CD), (0x1C5CF5), 0x60, GHI                 
  442	OK    	LD (0x489F59 + OP), F11                                   	01, 7D, 48, 9F, 59, 0E, 0B                                    	LD (0x489F59 + OP), F11                                   
  443	OK    	LD (0x49881C + T), (0x605E3D), 0x70, DEF                  	01, 62, 49, 88, 1C, 13, 60, 5E, 3D, 70, 03                    	LD (0x49881C + T), (0x605E3D), 0x70, DEF                  
  444	OK    	LD (0x4A41EB), (0x51CEAB + BCD), 0x34, FGH                	01, 44, 4A, 41, EB, 51, CE, AB, 01, 34, 05                    	LD (0x4A41EB), (0x51CEAB + BCD), 0x34, FGH                
  445	OK    	LD (0x4C75F8 + 0x6E9804), LMNO                            	01, 50, 4C, 75, F8, 6E, 98, 04, 0B                            	LD (0x4C75F8 + 0x6E9804), LMNO                            
  446	OK    	LD (0x4D3F64 + F), (RST + V), 0x6D, XYZ                   	01, 69, 4D, 3F, 64, 05, 11, 15, 6D, 17                        	LD (0x4D3F64 + F), (RST + V), 0x6D, XYZ                   
  447	OK    	LD (0x503725 + 0x15F728), 0x0174F229, 0x5C                	01, 4B, 50, 37, 25, 15, F7, 28, 01, 74, F2, 29, 5C            	LD (0x503725 + 0x15F728), 0x0174F229, 0x5C                
  448	OK    	LD (0x5092B3 + 0x3A20F8), (0x494D25 + KL), 0x04, IJK      	01, 54, 50, 92, B3, 3A, 20, F8, 49, 4D, 25, 0A, 04, 08        	LD (0x5092B3 + 0x3A20F8), (0x494D25 + KL), 0x04, IJK      
  449	OK    	LD (0x511126), WXY                                        	01, 3E, 51, 11, 26, 16                                        	LD (0x511126), WXY                                        
  450	OK    	LD (0x5295BF), (XYZ + HIJ), 0x3D, KLM                     	01, 49, 52, 95, BF, 17, 07, 3D, 0A                            	LD (0x5295BF), (XYZ + HIJ), 0x3D, KLM                     
  451	OK    	LD (0x53ACD7 + C), (OPQ), 0x5D, PQR                       	01, 67, 53, AC, D7, 02, 0E, 5D, 0F                            	LD (0x53ACD7 + C), (OPQ), 0x5D, PQR                       
  452	OK    	LD (0x56C571 + 0x45BBF3), (0x758FEE + WXY), 0x76, WXY     	01, 55, 56, C5, 71, 45, BB, F3, 75, 8F, EE, 16, 76, 16        	LD (0x56C571 + 0x45BBF3), (0x758FEE + WXY), 0x76, WXY     
  453	OK    	LD (0x56E5A7 + 0x75EC46), F6                              	01, 5B, 56, E5, A7, 75, EC, 46, 06                            	LD (0x56E5A7 + 0x75EC46), F6                              
  454	OK    	LD (0x5777BC + PQR), (CDE + WX), 0x52, TUV                	01, 8C, 57, 77, BC, 0F, 02, 16, 52, 13                        	LD (0x5777BC + PQR), (CDE + WX), 0x52, TUV                
  455	OK    	LD (0x5B8A3E + K), N                                      	01, 5E, 5B, 8A, 3E, 0A, 0D                                    	LD (0x5B8A3E + K), N                                      
  456	OK    	LD (0x5C41CB + 0x6FF040), (WXY + N), 0x33, DEF            	01, 58, 5C, 41, CB, 6F, F0, 40, 16, 0D, 33, 03                	LD (0x5C41CB + 0x6FF040), (WXY + N), 0x33, DEF            
  457	OK    	LD (0x5C4DD2 + VW), (LMN), 0x1A, KLM                      	01, 78, 5C, 4D, D2, 15, 0B, 1A, 0A                            	LD (0x5C4DD2 + VW), (LMN), 0x1A, KLM                      
  458	OK    	LD (0x5F15E8 + 0x7FF66F), (MNO), 0x60, IJK                	01, 56, 5F, 15, E8, 7F, F6, 6F, 0C, 60, 08                    	LD (0x5F15E8 + 0x7FF66F), (MNO), 0x60, IJK                
  459	OK    	LD (0x5FFB5C + J), (OPQ + KL), 0x78, RST                  	01, 6A, 5F, FB, 5C, 09, 0E, 0A, 78, 11                        	LD (0x5FFB5C + J), (OPQ + KL), 0x78, RST                  
  460	OK    	LD (0x600D72 + V), (VWX + 0x21D85A), 0x7A, LMN            	01, 68, 60, 0D, 72, 15, 15, 21, D8, 5A, 7A, 0B                	LD (0x600D72 + V), (VWX + 0x21D85A), 0x7A, LMN            
  461	OK    	LD (0x62C71F + 0x01936F), TU                              	01, 4E, 62, C7, 1F, 01, 93, 6F, 13                            	LD (0x62C71F + 0x01936F), TU                              
  462	OK    	LD (0x6358E8), OPQR                                       	01, 3F, 63, 58, E8, 0E                                        	LD (0x6358E8), OPQR                                       
  463	OK    	LD (0x639474 + DEF), (0x3C2756 + 0x2D14B1), 0x3E, CDE     	01, 85, 63, 94, 74, 03, 3C, 27, 56, 2D, 14, B1, 3E, 02        	LD (0x639474 + DEF), (0x3C2756 + 0x2D14B1), 0x3E, CDE     
  464	OK    	LD (0x646D1D + LM), (HIJ + LM), 0x01, ABC                 	01, 7B, 64, 6D, 1D, 0B, 07, 0B, 01, 00                        	LD (0x646D1D + LM), (HIJ + LM), 0x01, ABC                 
  465	OK    	LD (0x69743A + 0x7CC8E9), 0x015F9506, 0x55, 0x5B74E5      	01, 4C, 69, 74, 3A, 7C, C8, E9, 01, 5F, 95, 06, 55, 5B, 74, E5	LD (0x69743A + 0x7CC8E9), 0x015F9506, 0x55, 0x5B74E5      
  466	OK    	LD (0x6B6D0A + 0x57CA15), (HIJ + LMN), 0x03, TUV          	01, 5A, 6B, 6D, 0A, 57, CA, 15, 07, 0B, 03, 13                	LD (0x6B6D0A + 0x57CA15), (HIJ + LMN), 0x03, TUV          
  467	OK    	LD (0x710881 + Y), (CDE + CDE), 0x11, EFG                 	01, 6B, 71, 08, 81, 18, 02, 02, 11, 04                        	LD (0x710881 + Y), (CDE + CDE), 0x11, EFG                 
