Nr.  	Status	Compiled instruction                                      	Bytecodes (hex)                                               	Disassembled to                                           
 1164	OK    	XNOR DEF, (0x148BCE)                                      	33, 78, 03, 14, 8B, CE                                        	XNOR DEF, (0x148BCE)                                      
 1165	OK    	XNOR EF, NO                                               	33, 0C, 8D                                                    	XNOR EF, NO                                               
 1166	OK    	XNOR EFGH, BCDE                                           	33, 1C, 81                                                    	XNOR EFGH, BCDE                                           
 1167	OK    	XNOR GH, (0x06FCD5)                                       	33, 74, 06, 06, FC, D5                                        	XNOR GH, (0x06FCD5)                                       
 1168	OK    	XNOR L, 0x56                                              	33, 00, 0B, 56                                                	XNOR L, 0x56                                              
 1169	OK    	XNOR LMNO, (KLM)                                          	33, 4D, 6A                                                    	XNOR LMNO, (KLM)                                          
 1170	OK    	XNOR M, (0x5F656B)                                        	33, 70, 0C, 5F, 65, 6B                                        	XNOR M, (0x5F656B)                                        
 1171	OK    	XNOR M, (UVW)                                             	33, 41, 94                                                    	XNOR M, (UVW)                                             
 1172	OK    	XNOR MN, (IJK)                                            	33, 45, 88                                                    	XNOR MN, (IJK)                                            
 1173	OK    	XNOR NOP, (XYZ)                                           	33, 49, B7                                                    	XNOR NOP, (XYZ)                                           
 1174	OK    	XNOR RST, OPQ                                             	33, 16, 2E                                                    	XNOR RST, OPQ                                             
 1175	OK    	XNOR RSTU, (0x4479E5)                                     	33, 7C, 11, 44, 79, E5                                        	XNOR RSTU, (0x4479E5)                                     
 1176	OK    	XNOR U, E                                                 	33, 06, 84                                                    	XNOR U, E                                                 
 1177	OK    	XNOR UVW, 0x71E688                                        	33, 10, 14, 71, E6, 88                                        	XNOR UVW, 0x71E688                                        
 1178	OK    	XNOR VW, 0x70D3                                           	33, 08, 15, 70, D3                                            	XNOR VW, 0x70D3                                           
 1179	OK    	XNOR16 (0x7DC5AD), 0x0A8E                                 	33, 54, 7D, C5, AD, 0A, 8E                                    	XNOR16 (0x7DC5AD), 0x0A8E                                 
 1180	OK    	XNOR16 (PQR), 0x01A8                                      	33, 24, 0F, 01, A8                                            	XNOR16 (PQR), 0x01A8                                      
 1181	OK    	XNOR24 (0x2CA414), 0x602C14                               	33, 58, 2C, A4, 14, 60, 2C, 14                                	XNOR24 (0x2CA414), 0x602C14                               
 1182	OK    	XNOR24 (VWX), 0x15E157                                    	33, 28, 15, 15, E1, 57                                        	XNOR24 (VWX), 0x15E157                                    
 1183	OK    	XNOR32 (0x52B64A), 0x34FD2BF1                             	33, 5C, 52, B6, 4A, 34, FD, 2B, F1                            	XNOR32 (0x52B64A), 0x34FD2BF1                             
 1184	OK    	XNOR32 (LMN), 0x0D06AF3F                                  	33, 2C, 0B, 0D, 06, AF, 3F                                    	XNOR32 (LMN), 0x0D06AF3F                                  
 1185	OK    	XOR (0x31E77A), QRST                                      	0F, 6C, 31, E7, 7A, 10                                        	XOR (0x31E77A), QRST                                      
 1186	OK    	XOR (0x3C181F), JK                                        	0F, 64, 3C, 18, 1F, 09                                        	XOR (0x3C181F), JK                                        
 1187	OK    	XOR (0x5AF9EF), RST                                       	0F, 68, 5A, F9, EF, 11                                        	XOR (0x5AF9EF), RST                                       
 1188	OK    	XOR (0x60FFE9), Q                                         	0F, 60, 60, FF, E9, 10                                        	XOR (0x60FFE9), Q                                         
 1189	OK    	XOR (0x65F694), 0x3A                                      	0F, 50, 65, F6, 94, 3A                                        	XOR (0x65F694), 0x3A                                      
 1190	OK    	XOR (DEF), O                                              	0F, 30, 6E                                                    	XOR (DEF), O                                              
 1191	OK    	XOR (LMN), XYZA                                           	0F, 3D, 77                                                    	XOR (LMN), XYZA                                           
 1192	OK    	XOR (OPQ), EF                                             	0F, 35, C4                                                    	XOR (OPQ), EF                                             
 1193	OK    	XOR (XYZ), 0x06                                           	0F, 20, 17, 06                                                	XOR (XYZ), 0x06                                           
 1194	OK    	XOR (YZA), CDE                                            	0F, 3B, 02                                                    	XOR (YZA), CDE                                            
 1195	OK    	XOR B, (BCD)                                              	0F, 40, 21                                                    	XOR B, (BCD)                                              
 1196	OK    	XOR CDE, (RST)                                            	0F, 48, 51                                                    	XOR CDE, (RST)                                            
 1197	OK    	XOR DE, (0x1967A8)                                        	0F, 74, 03, 19, 67, A8                                        	XOR DE, (0x1967A8)                                        
 1198	OK    	XOR IJKL, 0x23555015                                      	0F, 18, 08, 23, 55, 50, 15                                    	XOR IJKL, 0x23555015                                      
 1199	OK    	XOR IJKL, JKLM                                            	0F, 1D, 09                                                    	XOR IJKL, JKLM                                            
 1200	OK    	XOR JKL, (0x11182C)                                       	0F, 78, 09, 11, 18, 2C                                        	XOR JKL, (0x11182C)                                       
 1201	OK    	XOR NOP, 0x1C08D6                                         	0F, 10, 0D, 1C, 08, D6                                        	XOR NOP, 0x1C08D6                                         
